,Группа,title,Старая цена,Новая цена,Скидка,Металл,Вес,Ссылка,Брэнд
129,rings,Кольцо,30658,19928,35,Золото 585,2.19 г.,https://miuz.ru/catalog/rings/R01-4-W-11469/,miuz
130,rings,Кольцо с бриллиантом,149900,82445,45,Золото 585,1.97 г.,https://miuz.ru/catalog/rings/R01-SOL35-020-G2/,miuz
131,rings,Кольцо,2990,2691,10,Серебро 925,2.23 г.,https://miuz.ru/catalog/rings/R2031-93-110-01622-2/,miuz
132,rings,Кольцо с бриллиантами,664900,365695,45,Золото 585,2.6 г.,https://miuz.ru/catalog/rings/R01-SBL0117-060-G3/,miuz
133,rings,Кольцо с бриллиантом,124900,62450,50,Золото 585,3.08 г.,https://miuz.ru/catalog/rings/R01-WED-00039/,miuz
134,rings,Кольцо,48309,33816,30,Золото 585,2.03 г.,https://miuz.ru/catalog/rings/R01-VIT-0088/,miuz
135,rings,Кольцо с бриллиантами,149900,74950,50,Золото 585,5.49 г.,https://miuz.ru/catalog/rings/R01-WED-00099/,miuz
136,rings,Кольцо с бриллиантами,359900,215940,40,Золото 585,3.65 г.,https://miuz.ru/catalog/rings/R755-62916R003/,miuz
137,rings,"Кольцо с бриллиантами, гранатами, сапфирами и цветными сапфирами",219900,131940,40,Золото 585,4.94 г.,https://miuz.ru/catalog/rings/R01-FST-0187/,miuz
138,rings,Кольцо с бриллиантами,49990,27495,45,Золото 585,1.39 г.,https://miuz.ru/catalog/rings/R01-SL06-010-G3/,miuz
139,rings,Кольцо с бриллиантом,51900,28545,45,Золото 585,1.62 г.,https://miuz.ru/catalog/rings/R01-SOL94-007-G3/,miuz
140,rings,Кольцо с топазом,33505,23453,30,Золото 585,2.19 г.,https://miuz.ru/catalog/rings/R2020-098945-BT/,miuz
141,rings,Кольцо с бриллиантами и изумрудом,129900,77940,40,Золото 585,1.75 г.,https://miuz.ru/catalog/rings/R01-33860-EM/,miuz
142,rings,Кольцо с бриллиантом,314900,124900,60,Золото 585,2.02 г.,https://miuz.ru/catalog/rings/R01-SP35-030/,miuz
143,rings,Кольцо с бриллиантом,244900,99900,59,Золото 585,2. г.,https://miuz.ru/catalog/rings/R01-SP35-025/,miuz
144,rings,Кольцо с бриллиантами и сапфирами,499900,249950,50,Золото 585,5.97 г.,https://miuz.ru/catalog/rings/R01-35874SA/,miuz
145,rings,Кольцо с гранатом и фианитами,29527,20669,30,Золото 585,1.98 г.,https://miuz.ru/catalog/rings/R2020-102010409-GR/,miuz
146,rings,Кольцо с бриллиантами,144900,72450,50,Золото 585,2.66 г.,https://miuz.ru/catalog/rings/R01-PL-34116/,miuz
147,rings,Кольцо с бриллиантами и цветными сапфирами,97900,48950,50,Золото 585,3.3 г.,https://miuz.ru/catalog/rings/R01-L-35019-SC/,miuz
148,rings,Кольцо с выращенным бриллиантом,95900,38360,60,Золото 585,1.2 г.,https://miuz.ru/catalog/rings/R01-L-MLN35710/,miuz
149,rings,Кольцо с выращенным бриллиантом,108900,43560,60,Золото 585,1.48 г.,https://miuz.ru/catalog/rings/R01-L-MLN35720/,miuz
150,rings,Кольцо с бриллиантами и рубинами,104900,52449,50,Золото 585,2.56 г.,https://miuz.ru/catalog/rings/R01-LS-35667-RU/,miuz
151,rings,Кольцо с фианитом,18633,13043,30,Золото 585,1.12 г.,https://miuz.ru/catalog/rings/R2020-MIS-0059/,miuz
152,rings,Кольцо с выращенным бриллиантом,114900,45960,60,Золото 585,1.33 г.,https://miuz.ru/catalog/rings/R2018-MLN-0367/,miuz
153,rings,Кольцо с цитрином и бриллиантами,214900,128940,40,Золото 585,2.96 г.,https://miuz.ru/catalog/rings/R108-193XA05393-CI/,miuz
154,rings,Кольцо с выращенным бриллиантом,349900,139960,60,Золото 585,3.06 г.,https://miuz.ru/catalog/rings/R01-MLN0120-060/,miuz
